question,context
What are the ill effects of suspended particulate matter?,"Coming into contact with a suspended particulate will lead the following health effects:Irregular heartbeat ,Aggravated asthma ,Decreased lung function ,Increased respiratory symptoms, such as irritation of the airways, coughing ."
What are the 6 air quality index categories?,"The air quality index has the following categories:Good,Satisfactory,Moderately polluted,Poor,Very Poor,Severe."
How can carbon monoxide be reduced in the air?,"Carbon monoxide can be reduced through the following methods:Installation of air filters in cities and towns,Usage of proper fuel in kerosene space heaters,Planting of trees should be encouraged as they act as natural filters for carbon monoxide,Discourage the use of high-polluting vehicles."
What is Nitrogen Dioxide?,"Nitrogen dioxide is a chemical compound with the formula NO ₂. It is one of many nitrogen oxides. The NO ₂ is an intermediate in the industrial synthesis of nitric acid, millions of tons of which are produced each year for use primarily in the production of fertilizers."
What are the 4 major indoor air pollutants?,"The four major indoor air pollutants are as follows:Asbestos,Carbon monoxide,Formaldehyde,Cookstoves and Heaters,Indoor air pollution is caused by dust, dirt or gases inside buildings which can cause severe breathing problems that can lead to fatalistic results."
What causes indoor air pollution?,"Indoor air pollution refers to dust, gases and dirt inside the buildings that have a polluting effect on the indoor air quality.Indoor air pollution is caused by:Toxic products,Insufficient ventilation,High temperature and humidity,Other sources such as tobacco smoke, wood-burning stoves and construction materials such as asbestos also cause indoor air pollution."
What are the most common indoor pollutants?,"The most common indoor pollutants are as follows:Lead ,Nitrogen Dioxide ,Pesticides.,Radon ,Secondhand Smoke/Environmental Tobacco Smoke.,Volatile Organic Compounds,Other sources such as tobacco smoke, wood-burning stoves and construction materials such as asbestos also cause indoor air pollution."
What are two causes of indoor air pollutants?,"The two causes of indoor air pollutants are as follows:Insufficient ventilation due to poor construction practices,Using cooking appliances such as wood-stoves that give off too much smoke is also a cause for indoor air pollutants.,Indoor air pollution refers to dust, gases and dirt inside the buildings that have a polluting effect on the indoor air quality."
What are 5 indoor pollutants?,"The five indoor pollutants are as follows:Particulate matter.,Carbon monoxide.,Secondhand tobacco smoke.,Pesticides.,Solvents.Indoor air pollution refers to dust, gases and dirt inside the buildings that have a polluting effect on the indoor air quality. Constant exposure to indoor pollutants can be fatal to those who have a history of respiratory problems."
What are indoor toxins?,"Indoor toxins are pollutants that cause air pollutants within a structure. The most common indoor toxins are:Radon (Rn) Indoor Particulate Matter,Secondhand Smoke/ Environmental Tobacco Smoke,Volatile Organic Compounds,Some of these are emitted from aerosol products, dry-cleaned clothing, paints, varnishes, glues, art supplies, cleaners, spot removers."
What is the national air quality monitoring Programme?,"The National Air Quality Monitoring Programme is a nation-wide programme of ambient air quality monitoring. The aim of the National Air Quality Monitoring Programme is to:Determine status and trends of ambient air quality,Ascertain whether the prescribed ambient air quality standards are violated,The purpose of an air quality monitoring programme is to assess the level of pollution in urban areas and take necessary steps in mitigating the levels of pollution."
How can lakes be saved?,"Lakes can be saved with the help of the following conservation methods:By practicing conservatory methods in agriculture lands,Plant native trees and vegetation along shorelines and river banks to help hold soil in place and reduce erosion,Undertake lake rejuvenation by employing sustainable and eco friendly technologies,Restrict the entry of sewage in lakes."
What goes into a biodiversity action plan?,"Making inventories of information about selected species and habitats,Examining the conservation status of species that dwell in the specified ecosystems,Creating targets for conservation and restoration of endangered species,Establishing budgets, timelines and partnerships for the effective implementation of biodiversity action plans."
How long does red tide usually last?,"Red tides can last as little as a few weeks or longer than a year, depending on the amount of algae present in the water. They can even subside and then reoccur.Red tides are caused by algae, tiny microorganisms that grow in the water. Almost all bodies of water have algae. A red tide is caused by the excess amount of algae in the water."
What is the purpose of a biodiversity action plan?,"The purpose of a biodiversity action plan (BAP) is to preserve biodiversity through the implementation of plans and safeguards that will save endangered species from extinction.A fundamental method of engagement to a BAP is thorough documentation regarding individual species, with emphasis upon the population distribution and conservation status. "
Is red tide natural?,Red Tides is a natural phenomenon that happens in the oceans of the world. It is believed to be caused by the excess of algae in the water but the exact cause or combination of factors that result in a red tide is not necessarily known.Red tides are harmful for aquatic life as the algae blooms release powerful toxins. Red tide continues to wash up hundreds of thousands of dead sea life every day as a result.
How can the loss of biodiversity be prevented?,"Protection of endangered animals and plants in their natural habitat must be encouraged as much as possible.Preservation of critical habitats like feeding, breeding and resting areas of endangered species should be created to promote their growth in numbers.Hunting and illegal cutting of trees or illegal encroachment of lands must be discouraged."
What is biomagnification in biology?,"Biomagnification is the collection of a chemical by an organism from water and food  through exposure that causes a concentration of those chemicals. The chemicals accumulated will be greater than what would normally be accumulated through water exposure alone, thus exceeding the equilibrium.An example of biomagnification is the accumulation of insecticides in zooplanktons. These zooplanktons are consumed by fish and the fish in turn are consumed by lifeforms high in the food chain, thus spreading the toxicity in the entire food chain."
What is a conservation management plan?,"The Conservation Management Plan (CMP) is a type of management strategy for historic assets, sites and habitats. It details the importance of an asset and its significance in having them preserved.It also gives details on the future use, management, alteration or repair that can be carried to retain its value."
What is biomagnification in simple words?,"Biomagnification is the increase in the buildup of toxins within substances that happens at each stage of the food chain.Biomagnification is caused by the following factors:When a substance cannot be broken down by environmental processes,Substances concentration increases progressively as it moves up the food chain,Low or non-existent rate of internal degradation or excretion of the toxic substance."
What is an example of bioaccumulation?,"An example of bioaccumulation is that of car emission chemicals building up in birds and other animals, mercury building up in fish.Bioaccumulation is the gradual accumulation of substances, such as pesticides or other chemicals, in an organism."
How long do red tide symptoms last in humans?,"Generally, symptoms are temporary and disappear within hours, once exposure is discontinued.Red tides are harmful for humans with a history of chronic respiratory illness and thus humans having such condition are generally advised to stay away from areas affected by Red Tide."
Does rain help red tide?,"Scientists speculate that rainfall could feed the harmful blooms that cause the red tides, thus rains help in prolonging the red tide phenomenon.A red tide is a phenomenon of discoloration of the sea surface. It is a common name for harmful algal blooms occurring along coastal regions. The algae blooms in the red tides release harmful toxins that are dangerous for human and aquatic life."
What is a red tide? Why is it harmful?,"A red tide is a phenomenon of discoloration of the sea surface. It is a common name for harmful algal blooms occurring along coastal regions. Red tides produce harmful toxins, capable of causing fatalities to fish, shellfish, mammals and birds. In the case of humans, those with chronic respiratory illness are advised to avoid coastal regions affected by red tides."
Can people swim during a red tide?,"People can swim during a red tide but it is usually not recommended to do so. Red Tides usually cause irritations in the skin and cause burning in the eyes. Coming into contact with dead fish while swimming in the red tide can lead to fatal results as a lot of harmful bacteria are present in such fishes.Red tides produce harmful toxins, capable of causing fatalities to fish, shellfish, mammals and birds. In the case of humans, those with chronic respiratory illness are advised to avoid coastal regions affected by red tides."
How can the desert ecosystem be saved?,"Planting and seeding,Managing water,Manipulating soil properties,Controlling non-native species,Management in restored ecosystems,Desert ecosystems are necessary to be conserved as they play an important role in biodiversity supporting plants, animals, and humans."
Where is Neknampur lake located?,"Neknampur lake is located in Hyderabad. Spread over 108 acres, it was always in the news for being a polluted water body.As per the latest report, the lake has been subjected to a ‘floating treatment wetland’ in order to remove the high pollution levels.Floating treatment wetlands (FTWs) or islands are small artificial platforms that allow aquatic emergent plants to grow in water that is typically too deep for them."
Where is the largest FTW in India?,"The largest Float Treatment Wetland is at the Neknampur Lake in Hyderabad.The size of the FTW is 3,000 sq. ft. It has been formed by the joint efforts of Dhruvansh, the Hyderabad Metropolitan Development Authority, the Ranga Reddy district administration and other organisations."
What is a floating treatment wetland?,"Floating treatment wetlands (FTW) are small artificial platforms that allow aquatic plants to grow in water that is usually too deep for them. The roots of these aquatic plants spread through the floating islands and down into the water creating dense columns of roots.The FTW method helps in treating the water for pollution and sewage. All wetland treatment methods use plants and naturally occurring microorganisms to reduce nutrients, pathogens."
What are compounds that Biomagnify?,"Some of the biomagnified chemicals are elements such as selenium, mercury, or nickel, or organic compounds such as methylmercury.Biomagnification is the increase in the buildup of toxins within substances that happens at each stage of the food chain."
What are wetlands plants?,"Wetland plants are those types of plant species that are found in all types of wetlands, either in or on the water surface or where soils are flooded or saturated long enough for anaerobic conditions to develop in the root zone.Example of wetland plants are as follows:Swamp mahogany,Swamp paperbark,Swamp she-oak,Shrubs like the swamp banksia, tea trees and ferns."
Why is Jhooming banned?,"Jhooming, also known as shifting cultivation, is an agricultural practice in which a piece of land is farmed on, only to be abandoned later after an initial use.Jhooming is banned as it was found that the practice accelerated the process of deforestation at an alarming rate. What’s more, the burning of forests to clear it for agriculture purposes caused more damage to the environment in the process."
What is the red tide caused by?,"Red tides are caused by algae, tiny microorganisms that grow in the water. Almost all bodies of water have algae. A red tide is caused by the excess amount of algae in the water.It is common in red tides for harmful algal blooms occurring along coastal regions, which result from large concentrations of aquatic microorganisms."
What is shifting cultivation called in India?,"Shifting cultivation in India is known as Jhum.Shifting cultivation is an agricultural practice in which a piece of land is farmed on, only to be abandoned later after an initial use. It is prohibited in India as shifting cultivation was believed to be responsible for the alarming rate of deforestation of Indian forests."
Is the red tide harmful to humans?,"Red tides can produce toxins that are harmful for humans and marine life. They are most harmful for those humans who have a history of chronic respiratory illness.Red tides are caused by algae, tiny microorganisms that grow in the water. Almost all bodies of water have algae. A red tide is caused by the excess amount of algae in the water."
What are the characteristics of shifting cultivation?,"The characteristics of shifting cultivation are as follows:Field rotations,Fire is used to clear the land,Land is kept fallow for a number of years in order to allow regeneration,Seeds are sown in the ashes after the first monsoon rainfall;it is usually harvested in september-october.,Human labour as the main input,Draught animals are not employed."
Why is shifting cultivation bad?,"Shifting cultivation, better known as slash and burn agriculture, is bad for the environment as it accelerates deforestation, burning down forests to make way for farmlands.In addition, by burning the forests, shifting cultivation robbed the soil of its nutrients, rendering it infertile in the process. Thus due to these reasons, the practice of shifting cultivation was prohibited by the Indian government."
What is shifting cultivation and its impact?,"Shifting cultivation is an agricultural practice in which a plot of land was cultivated temporarily and is abandoned to allow vegetation to grow freely while the cultivator moves to another plot.Shifting cultivation has contributed to both positive and negative environmental impacts. On the positive side, its practice reduces intensity of land use and reduces rate of environmental degradation.Its negative impact includes loss of soil fertility, accelerated deforestation and out of control forest fires."
What is an example of a desert ecosystem?,"An example of a desert ecosystem is the Sahara Desert. A desert ecosystem is characterized by interactions between organisms, the climate it lives in.A desert ecosystem is defined by interactions between organisms, the climate in which they live, and any other non-living influences on the habitat. Deserts are arid regions that are generally associated with warm temperature."
What are 3 interesting facts about the desert?,"The three interesting facts about the desert are as follows:Daytime temperatures in the desert are extremely hot while nighttime temperatures are extremely cold,The Sahara Desert is the largest desert in the world It covers over 300 million square miles.Deserts cover more than one-fifth of the Earth’s land area, and they are found on every continent."
What plants and animals live in the desert ecosystem?,"The following plants are found in the desert:Prickly Pear Cacti,Cactus,Tumbleweed,Saguaro Cactus,Mexican Poppies.The following animals live in the desert:Lizards,Geckos,Toads ,Jackrabbits."
What is a desert ecosystem structure?,"Desert ecosystems are typically made of very fine, red sand, while some consist of sand mixed with pebbles and rocks. The desert sand started out as rock, but years of weathering by wind and water has created dunes in the deserts. These sands are mostly minerals, and sometimes oil can be found hidden deep within the rocks."
What are the characteristics of a desert ecosystem?,"A desert ecosystem has the following characteristics:Arid environment,Extreme temperatures,High wind velocity.,Sparsity of cloud cover,Absence of water vapour in air."
Why is biomagnification essential in toxicology?,Biomagnification is essential for toxicology as it gives detailed information about the amount of pollutants in an area. This data about the pollutants also gives clues about the effect on populations and ecosystems.Biomagnification is any concentration of a toxin in the tissues of tolerant organisms at successively higher levels in a food chain.
What is biomagnification and how does it work?,Biomagnification is any concentration of a toxin in the tissues of tolerant organisms at successively higher levels in a food chain. Biomagnification happens when the pollutants increase from a link in the food chain to another. And will result in the top predator of the food chain. The example of it is a polluted fish contaminating the next consumer and continues up a tropic food web chain.
What is the parasitism relationship?,"Parasitism is a type of a relationship between two species of plants or animals in which one benefits at the expense of the other, sometimes without killing the host organism.Parasitism is characterized by ectoparasites like fleas, ticks etc that live on the body surface of the host and do not cause disease in the host body. "
What are some parasitic relationships?,"Parasitic relations is a type of a relationship between two species of plants or animals in which one benefits at the expense of the other, sometimes without killing the host organism.A few examples of parasites are tapeworms, fleas, and barnacles. The fleas, tapeworms, barnacles etc in turn, get food and a warm home."
What causes shifting cultivation?,"The causes of shifting cultivation are as follows:Rise in human population,Insufficient land for cultivation,Low education,High demand for food,Policy planning and implementation without local participation,Shifting cultivation is an agricultural practice in which a piece of land is farmed on, only to be abandoned later after an initial use."
What is a good example of commensalism?,A good example of commensalism is an association between cattle egrets and cattle. The egrets consume insects in the cattles bodies. Their presence has little to no measurable effect on the cattle.Commensalism is a type of long-term biological interaction in which members of one species gain benefits while the other is neither harmed nor does it gain any sort of benefit.
Why did the Britishers not prefer shifting cultivators?,"The British disliked shifting cultivators for the following reasons:Movement of cultivators shifting from one place to another would make revenue tracking a hard task,Timber, a valuable component of the railways, would be lost due to shifting cultivation practices,Forest fires could break out as one of the practices of shifting cultivation waste to burn out cut down tree stumps.,Shifting cultivation is an agricultural practice in which a piece of land is farmed on, only to be abandoned later after an initial use."
What is an example of commensalism in the ocean?,"An example of commensalism in the ocean is that of the Clownfish and anemones. Clownfish live in the tentacles of sea anemones. They are coated in mucus, which protects them from the anemone’s stinging nematocysts. Other animals like crabs and shrimps also seek protection in anemones.Commensalism is a type of long-term biological interaction in which members of one species gain benefits while the other is neither harmed nor does it gain any sort of benefit."
Why bioaccumulation is a concern?,Bioaccumulation is a concern as far as human health is concerned. When humans eat organisms such as fish with high concentration of bioaccumulation it can deteriorate human health to almost fatal levels.Bioaccumulation can also happen in plants where excessive use of pesticides can be found in plants as they absorb pesticides in large amounts.
What is the tundra known for?,"Tundra are known for their large stretches of bare ground and rock and for patchy mantles of low vegetation such as mosses, lichens, herbs, and small shrubs.The surface of the tundra lacks the vegetation necessary for it to support animal and plant life.For most of the year, the tundra is a cold, frozen landscape."
What are 3 facts about the tundra?,"The 3 facts about the tundra are as follows:Tundras are one of the coldest biomes in the world,Grounds in a tundra environment are frozen throughout the year.,Tundra has few nutrients that can be sufficient for it to support plant and animal life."
What is a tundra in geography?,"Tundra is a type of biome where the tree growth is hindered by low temperatures and short growing seasons.Lands of the tundra are covered with snow for much of the year, but summer brings bursts of wildflowers. Vegetation such as grass, sichens and lichens are better adapted to withstand tundra conditions."
Why is the tundra so cold?,"Surface of the tundra is covered mostly by permafrost. This prevents most of the flora from having a root system and the ones that do have a shallow root system that cannot withstand high winds.In addition low precipitation means less water to support trees. Thus, due to these factors the tundra is so cold most of the year."
What kind of plants and animals live in tundra?,"The following plants are found in the tundra:Arctic Moss,Arctic Willow,Caribou Moss,Labrador Tea.The following animals are found in the Tundra:Musk ox,Arctic hare,Polar bear,Arctic fox."
What are the landforms in the tundra?,"The landforms of the tundra vegetation is composed of dwarf shrubs, sedges, grasses, mosses, and lichens. Scattered trees grow in some tundra regions. The ecological boundary region between the tundra and the forest is known as the tree line or timberline.Its soil is rich in nitrogen and phosphorus."
Where are the tundra on earth?,"Tundras are mostly found in countries and regions close to the polar regions. These regions/countries are:Alaska,Canada,Russia,Greenland."
What is radioactive pollution and what are its sources?,"Radioactive pollution is the deposition of, or presence of radioactive substances on surfaces or within solids, liquids or gases that render a habitat unsuitable for human habitation.Sources of radioactive pollution are as follows:Nuclear accidents from Nuclear Plants,The Use of Nuclear Weapons as Weapons of Mass Destruction,Spillage of radioactive materials."
What is the alpine biome?,"Alpine biomes are a type of biomes mountain regions worldwide, including the Andes, Alps, and Rocky Mountains. The alpine biome usually lies between an altitude of about 3000 metres.The general climate of an Alpine biome is very cold, icy, snowy and windy."
How does eutrophication cause dead zones?,"Eutrophication is a process in which an water body, partially or fully becomes enriched with minerals and nutrients over time.Dead zones are caused by eutrophication as it will deprive water bodies of oxygen, replacing it with phosphorus and nitrogen. As such few organisms can survive in a hypotonic environment as oxygen is needed to function."
What is an example of shifting cultivation?,"An example of shifting cultivation is of land being farmed for 2-3 years before moving on to other areas. This allows the farmed area to recover.Shifting cultivation is an example of arable, subsistence and extensive farming. It is the traditional form of agriculture in rainforest areas."
What occurs in a lake due to eutrophication?,"Eutrophication is the process of accumulation of nutrients in lakes and other types of bodies of water.The additional nutrients cause algal blooms, additional plant growth and overall poor water quality, making the lake less suitable for recreation."
What is shifting cultivation? Why is it banned?,"Shifting cultivation is an agricultural practice in which a piece of land is farmed on, only to be abandoned later after an initial use.Shifting cultivation is banned because its practice is largely harmful for forests. Usually forests are burnt in order to make way for new farmland and this can cause uncontrollable forest fires."
What is the difference between bioaccumulation and biomagnification?,Bioaccumulation happens in a single organism over the entire span of its life. It results in a higher concentration in older individuals.Biomagnification on the other hand is a process in which chemical transfer from lower trophic levels to higher trophic levels within a food web. Biomagnification results in a higher concentration of apex predators.
What are the steps of shifting cultivation?,"The steps of shifting cultivation are as follows:Select a plot of land,Slash or cut forests, bushes up to stump level,Burn the first to clear for farming,After some time, shift to a new patch of land and repeat steps 1-3.Shifting cultivation is an agricultural practice in which a piece of land is farmed on, only to be abandoned later after an initial use."
What is human bioaccumulation?,Human bioaccumulation refers to the process of toxic chemical substances building up inside the human body.This is caused by a chemical that is absorbed or consumed by the body cannot excrete it fast enough. An example of chemical bioaccumulating in the human body is Mercury.Bioaccumulation can also occur in humans who are exposed for a long time to noxious chemicals in their home or workplace.
What is the purpose of wetland conservation?,"The purpose of wetland conservation is to preserve wetlands due to the valuable ecological services it provides. Wetlands cover at least 6% of the earth’s surface.Wetland conservation is aimed at protecting and preserving areas where water exists at or near the Earth’s surface, such as swamps, marshes and bogs."
What kind of habitat is an estuary?,Estuaries are a type of habitat where the sea meets large lakes. Estuaries represent the transition between freshwater and marine environments and are influenced by both aquatic realms. Salinity levels are indicative of the position within the mixing zones of an estuary.
What type of ecosystem is an estuary?,A typical estuary is a form of dynamic ecosystem that is connected to the open sea. Sea water enters an estuary through the rhythm of tides.The seawater entering the estuary is diluted by the fresh water flowing from rivers and streams.
What is an estuary and why is it important in our ecosystem?,"An estuary is an enclosed coastal body, partially enclosed and consisting of brackish water with one or more streams/rivers flowing into it. It is notable for its free connection to the open sea.Estuaries are important in our ecosystems as they filter out sediments and pollutants from water bodies like rivers and lakes before it flows into the oceans, thus providing cleaner waters for marine life."
What is radioactive pollution? What are its effects?,"Radioactive pollution is the increase of radiation levels beyond their natural capacity. This is mainly due to human activities. It is estimated that about 20% of radiation exposure is due to human activities.Effects of radioactive pollution include genetic mutation, soil infertility and cell destruction. Example of radioactive pollution is the Chernobyl incident when a fire in an nuclear facility polluted the entirety of Chernobyl, rendering it dangerous for human habitation."
What causes radioactive pollution?,"Radioactive pollution is caused by the release of radioactive substances into the environment through human activities.Some of these activities include:Nuclear explosions,Nuclear weapons testing,Production and decommissioning of nuclear weapons,The mining of radioactive minerals,The handling and disposal of radioactive waste,Accidents at nuclear power plants."
What are some examples of radioactive pollution?,An example of radioactive pollution can be the release of ionizing radiation into the environment as a result of human activity. Ionizing radiation includes x-rays and gamma rays.Some of the commonly known radioactive contaminants are :Caesium-137: It is used for radiation therapy in medicine particularly to treat cancer.Strontium-90: Strontium is used in portable power sources for weather stations and space vehicles. 
What are 5 harmful effects of radiation?,"The five harmful effects of radiation are as follows:Skin burns,Acute radiation sickness that will cause cancer and hairfall,Temporary reduction in white blood cells.,Possible chromosomal damage.,Reduction in resistance to infection."
Why is radioactive pollution most harmful?,Radioactive pollution is the most harmful form of pollution as it damages environments for years to come. Coming in contact with a habitat’s radioactive pollution will have adverse effects on human health as well.An example of radioactive pollution is the Chernobyl incident and the destruction of the Fukushima reactor in Japan.
What are the effects of radioactive pollution on the environment?,Radioactive pollution is usually caused by improper disposal of radioactive wastes in the environment. This can easily contaminate the soil and render it infertile and highly toxic. It will lead to nutrient loss rendering it unfit for agricultural purposes.Habitats with such soil will be dangerous for humans to inhabit for decades to come. 
What is cultural eutrophication?,"Cultural eutrophication is a process that occurs when human water pollution speeds up by introducing sewage, detergents ,fertilizers and other sources of nutrients in an aquatic ecosystem.This form of eutrophication has an impact on freshwater resources, fisheries and other bodies of water that will ultimately be a cause of degradation in the aquatic ecosystem.Cultural eutrophication that affects aquatic ecosystems shows signs of extremely low oxygen concentrations in bottom waters. This condition is known as hypoxia."
What is eutrophication potential?,"Eutrophication potential (EP) is defined as the potential to cause over-fertilisation of water. and soil, which can result in increased growth of biomass.Eutrophication is caused by an overabundance of nitrogen and phosphorus. In this process Algae feeds on the nutrients, growing, spreading and turning the water green."
What happens when algae dies?,"If an algae dies the oxygen of the water will be depleted. The lack of oxygen will make it more difficult for aquatic organisms to survive. The lack of oxygen can cause algae blooms.Some algae blooms can smell bad, block sunlight, and even release toxins in some cases. It is a problem for aquatic environments as the excess of nitrogen can cause algal blooms. Some of these algal blooms produce toxins that can be harmful to life. "
Who are the stakeholders of the green economy?,"The stakeholders in the green economy include the social workers, pollution controllers, and the risk analysts.All the stakeholders play a crucial role in the proper functioning of a green economy. For example the social workers check the pollution levels and the risk analysts give inputs on how risky or not certain policies are."
What are the challenges in achieving the green economy?,"Financial and Technological factors are the main challenges to achieve a green economy.Other challenges to implement a green economy are:Weak management,Increasing poverty,Dynamic political climate that will keep changing economic policies,Economic dependency on conventional resources, particularly fossil fuels,Increasing food insecurity."
What is the main role of private agencies in a green economy?,"In a green economy, private agencies have the following role:Mobilise private climate investment,Promote green private sector development,Harness skills and knowledge of private actors."
What does OECD stands for?,"The OECD stands for Organisation for Economic Co-operation and Development. It is an international organisation consisting of 36 countries that is committed to fostering an environment where democracy and free market economy thrive.The OECD’s headquarters are at the Château de la Muette in Paris, France and are funded by contributions from member countries."
What are the four abiotic components?,"The four abiotic components are:Water,Sunlight,Oxygen,Soil,Abiotic components or abiotic factors are non-living chemical and physical parts of the environment that affect living organisms and the functioning of ecosystems"
What are the major abiotic factors?,"The four major abiotic components are as follows:Water,Sunlight,Oxygen,Soil,Temperature,Out of these, water is the most important of the components.Abiotic components or abiotic factors are non-living chemical and physical parts of the environment that affect living organisms and the functioning of ecosystems."
What are the most important abiotic factors in estuaries?,"Some of the most important biotic factors in estuaries are as follows:Light,Oxygen,Water,Nutrients,Temperature,Salinity,Space.Abiotic factors limit distribution and abundance by affecting an organism’s life processes."
What are the top 10 ecosystems?,"The top 10 ecosystems are:Grassland Ecosystems,Tropical Rainforest Ecosystems,Temperate Forest Ecosystems,Taiga Ecosystems,Desert Ecosystems,Tundra Ecosystems,Freshwater Ecosystems,Marine Ecosystems,Hydrothermal Vents,Coral reefs."
What do you mean by natural environment?,"A natural environment is a type of an environment where human impact or interaction has been extremely limited.A natural environment encompasses all living and non-living things occurring naturally, meaning in this case not artificial. The term is most often applied to the Earth or some parts of Earth."
What are the five characteristics of an ecosystem?,"The five characteristics of an ecosystem are as follows:Well defined soil,Climate,Flora and Fauna,Population,Habitat,An ecosystem consists of all the organisms and the physical environment with which they interact."
Is grass biotic or abiotic?,Grass is a biotic component of the environment. Biotic factors are the living components of an ecosystem.Grass is a producer that makes its own food and in turn provides food to other living organisms in the ecosystem. This is why grass is considered a biotic component of the environment.
Which state in India has the highest forest cover?,"Madhya Pradesh has the highest forest cover in India at 77,482 square kilometres.According to a report the total forest cover of the country is 712,249 square kilometres which is about 21.67 percent of India’s total geographical area. It is slightly up from 708,273 sq. km (21.54 percent) in 2017."
What does eutrophication mean?,"Eutrophication is the gradual increase in the concentration of phosphorus, nitrogen, and other plant nutrients in an aging aquatic ecosystem such as a lake.It has also been defined as nutrient-induced increase in phytoplankton productivity."
What is an example of ecology?,An example of an ecology is the studying of a food chain in a grassland. How the living organisms in grasslands interact is an example of how ecology functions.Ecology is defined as the branch of science that studies how people or organisms relate to each other and their environment.
What is a green economy ?,"A green economy is a type of economy that reduces environmental risks and ecological dangers. Its core principle is that it encourages sustainable development without degrading the environment.Although it has more ecological leanings, its applications are more political in focus. Green economy is now a focus as the current practices of many economies of the world is damaging the environment."
What are the 5 principles of a green economy?,"The wellbeing principle: A green economy ensures that all people create and enjoy prosperity.The justice principle: This principle means that a green economy will promote equity within and between generations.Planetary Boundaries Principle: An ideal green economy will restore, safeguard and invest in the future according to this principle.Efficiency and Sufficiency principle: This principle lays emphasis on sustainable consumption and production.Good governance principle: The green economy is guided by integrated, accountable and resilient institutions."
What are the major habitat requirements for a wildlife species?,"The major habitat requirements for a wildlife species are as follows:Adequate amounts of food for both herbivores and carnivores.,Presence of bodies that provide water,Nesting grounds,Protection against poaching and competitors,An ideal wildlife habitat has the above requirements distributed horizontally and vertically across the landscape."
Which is the largest tiger reserve in India?,"The largest tiger reserve in India is the Nagarjunsagar-Srisailam Tiger Reserve.Located in the Nallamala forest, the reserve spreads over five districts, Kurnool District, Prakasam District, Guntur District, Nalgonda District and Mahabub Nagar district."
What are 3 major requirements of a wildlife habitat?,"Food: There should be a balance of herbivores and carnivores for ecological balance,Water: Abundance of water will help in preserving the wildlife habitat,Shelter: To protect wildlife from other competing species as well as from natural occurrences like storms, floods etc."
Which state has more tiger reserves in India?,"Madhya Pradesh has the most number of tiger reserves with six in total. It also has the largest number of tigers in the entire country at 526.Other states with significant populations included Uttarakhand at 442, Karnataka at 524, Tamil Nadu at 229, Maharashtra at 190, Assam at 167, Kerala at 136 and Uttar Pradesh at 117."
How is the word ecology different from the word ecosystem?,"Ecology’s subpart is the ecosystem. The main difference between ecology and ecosystem is that ecology is the study of ecosystems. In ecosystems, the units of ecology are formed through the interaction of a community of organisms within the environment."
Where does acid rain naturally occur?,"Acid rain is most prevalent where emissions of sulphur dioxide and nitrogen oxide are high, especially in industrial countries, it can occur anywhere on Earth as winds blow emissions many miles from their sources."
How acid rain is formed?,"Sulphur dioxide accounts for most of the acid rain problems.(a) When sulphur dioxide dissolves in water, sulphurous acid is formed.SO2(g) + H2O(l) → H2SO3(aq)(b) Sulphur dioxide can react with oxygen and water to form sulphuric acid.2SO2(g) + O2(g) + 2H2O(I) → 2H2SO4(aq)Acid rain occurs when the pH of rain water falls between 2.0 to 5.5. This is due to the presence of sulphurous acid, sulphuric acid and nitric acid in rainwater."
Where Acid Rain is Most common?,"Acid rain is responsible for severe environmental destruction across the world and occurs most commonly in the North Eastern United States, Eastern Europe and increasingly in parts of China and India. "
What are the disadvantages of acid rain?,"Acid rain affects the freshwater ponds and lakes and destroys aquatic life, as some species of fishes are rare and may be extinct.It can damage historical monuments and buildings. The buildings can be found with sulphuric acid.A major consequence of more acidic water is its retention of aluminium, which can poison forests.Soil can be affected by acid rain and can lead to the deaths of good microbes. By depriving the soil of the essential nutrient and calcium, acidic rain makes it harder for plants to absorb water from the soil.It can affect the trees, particularly those that are at high altitudes."
Is acid rain natural or man made?,"Acid rain is linked to both natural and man-made sources.When a thunderstorm produces lightning,  nitrogen oxides are formed through the extreme heating of air.Sulphurous gases are discharged from erupted volcanoes and rotting vegetation.Man-made sources of acid rain include the burning of any fuel that contains sulphur and nitrogen compounds, including public utilities, industrial broilers, motor vehicles, and chemical plants."
What are man-made causes of acid rain?,"Chemical gas emissions such as sulphur and nitrogen due to any human activities are the primary contributors to acid rain.Use of coal or burning of fossil fuels for electrical power generation.Automobiles and factories release high scores of gaseous emissions.Oil refineries and manufacturing industries increase the atmospheric concentration of sulphur and nitrogen gases.These gases react in the atmosphere with water, oxygen, and other chemicals to form various acidic compounds such as sulphuric acid, ammonium nitrate, and nitric acid. As a result, these areas experience exceedingly high amounts of acid rain."
What type of disaster is most frequent in India?,"Floods are the most frequent disaster in India. Floods account for 52 per cent of the total occurrences of calamities, followed by cyclones, landslides, earthquakes and droughts. Most of the floods occur during the monsoon period and are usually associated with tropical storms or depressions, active monsoon conditions and break monsoon situations."
Is NDMA a statutory body?,"Yes, NDMA is a statutory body created under the Disaster Management Act 2005. It is the apex body for Disaster Management in India headed by the Prime Minister. Its primary purpose is to coordinate the response to natural or man-made disasters and for capacity-building in disaster resiliency and crisis response. It is also the apex body to lay down policies, plans and guidelines for Disaster Management to ensure a timely and effective response to disasters."
